id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
488221,Oasis next to Jean Talon market CITQ 314174,1375370,Pierre Et Martyna,,Rosemont-La Petite-Patrie,45.53556,-73.61186,Entire home/apt,285,4,24,2023-12-28,0.17,1,99,5,"314174, expires: 2025-06-19"
2843,Fabulous downtown/airport room,2319,Gail,,Le Sud-Ouest,45.48496,-73.58001,Private room,40,31,160,2022-09-18,0.88,3,272,0,
500701,Amazing loft in Montreal downtown,2470535,Valerie,,Le Sud-Ouest,45.48004,-73.58113,Entire home/apt,,31,327,2023-10-29,2.26,1,0,12,
511509,Prime Location in Old Montreal - 2 floors,2519666,Andrew,,Ville-Marie,45.50922,-73.5519,Entire home/apt,186,2,342,2024-06-04,2.34,1,258,59,"314121, expires: 2024-06-21"
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,256,31,462,2024-06-17,2.71,2,311,44,"267153, expires: 2025-04-01T00:00:00Z"
519108,Quartier Villeray Montréal,2553387,Andréanne,,Villeray-Saint-Michel-Parc-Extension,45.53689,-73.62379,Entire home/apt,100,32,38,2024-05-31,0.26,1,289,5,
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,299,2,135,2024-06-03,0.90,2,306,20,"267153, expires: 2025-04-01T00:00:00Z"
34715,Chez Patrac ! Montreal - Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,160,31,11,2023-11-14,0.07,1,151,2,"261026, expires: 2024-10-31"
522094,Great cozy condo by Little italy!,2349836,Amelie,,Rosemont-La Petite-Patrie,45.54192,-73.60358,Entire home/apt,90,90,49,2022-11-30,0.34,1,169,0,
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,,31,51,2024-01-07,0.46,7,345,3,
526401,Spacious bright loft in the Plateau,915999,Tammy,,Le Plateau-Mont-Royal,45.5137,-73.57614,Entire home/apt,140,180,92,2019-08-17,0.68,1,365,0,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,31,16,2022-08-29,0.10,2,292,0,
