id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
197677,Oshiage Holiday Apartment,964081,Yoshimi & Marek,,Sumida Ku,35.71707,139.82608,Entire home/apt,12000,3,176,2024-05-15,1.13,1,223,4,M130003350
776070,Kero-kero house room 1,801494,Kei,,Kita Ku,35.73844,139.76917,Private room,9652,3,256,2024-06-03,1.81,1,173,13,M130000243
905944,4F - Near Shinjuku & Shibuya,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67878,139.67847,Entire home/apt,25738,3,219,2024-06-19,1.60,6,115,33,Hotels and Inns Business Act | 渋谷区保健所長 | 31渋健生収第4972号
1016831,5 mins Shibuya Cat modern sunny  Shimokita,5596383,Wakana,,Setagaya Ku,35.658,139.67134,Private room,23286,10,268,2024-06-26,1.96,2,129,24,M130001107
1196177,Stay with host Cozy private room Senju area,5686404,Yukiko,,Adachi Ku,35.744730998785165,139.79738412263163,Private room,7500,2,120,2024-06-15,0.91,1,36,26,M130007760
1249571,Unique stay! New&1min to the subway,6809418,Yume,,Shibuya Ku,35.65111,139.72165,Entire home/apt,62047,7,134,2024-06-07,1.02,1,128,18,M130000957
1263000,SHIBUYA 7 MINS  AMAZING HOST（for woman only）,6876728,Haruko,,Setagaya Ku,35.60742,139.67616,Private room,8800,3,194,2024-06-13,1.45,1,237,12,M130000057
1268465,Private APT 8min from JR Ebisu station,1913570,Sugi,,Meguro Ku,35.63953,139.7097,Entire home/apt,15282,3,18,2024-04-28,0.14,1,153,6,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第１００号
1298200,Pine House 2 Bed Room + 2 Toilets,7740848,K Family,,Katsushika Ku,35.73987,139.85176,Entire home/apt,24543,3,396,2024-06-18,2.96,6,101,26,M130009943
1306664,3rd floor penthouse @ heart of TKO,7103955,Masaharu,,Shinjuku Ku,35.70263,139.74147,Entire home/apt,39714,3,212,2024-05-14,1.63,3,38,25,M130003681
1394124,Solar power/Car space/near to park,5710367,David,,Meguro Ku,35.62039,139.69983,Entire home/apt,37429,2,312,2024-06-09,2.35,1,175,46,Hotels and Inns Business Act | 目黒区保健所 | 目健衛環き第88号
1394409,Room in Mejiro/Ikebukuro (2of2) for 1 person,7537357,Yayoi,,Toshima Ku,35.72415,139.70151,Private room,6000,3,228,2024-05-27,1.73,2,266,2,M130000166
1394737,Room in Mejiro/Ikebukuro (1of2) for 1 person,7537357,Yayoi,,Toshima Ku,35.7241,139.70343,Private room,5500,3,230,2024-06-05,1.74,2,242,9,M130000166
1441639,"Sunny Spacious traditional room, Sunny balcony",7740848,K Family,,Katsushika Ku,35.7362,139.85178,Entire home/apt,,4,327,2024-05-06,2.46,6,0,3,M130002147
1526132,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) B,8142772,Min & Haru,,Shinjuku Ku,35.69857,139.704,Private room,12800,2,215,2024-06-07,1.63,13,82,22,M130002186
1544970,＊新宿・大久保徒歩圏内＊無料Wi-Fi＊コンビニ徒歩1分＊屋上から夜景ビュー 個室(和室) A,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70432,Private room,12800,2,159,2024-06-08,1.21,13,108,18,M130002186
1571298,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No1 ドミトリールーム,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70433,Shared room,7760,2,194,2024-05-23,1.48,13,193,15,M130002186
1574946,＊新宿・大久保徒歩圏内 コンビニ徒歩1分 屋上から夜景ビュー No4 シェアルーム,8142772,Min & Haru,,Shinjuku Ku,35.69848,139.70433,Shared room,7760,2,165,2024-06-26,1.26,13,193,12,M130002186
1600454,"cute room, safty residential area in west-Tokyo",8529477,Mari,,Setagaya Ku,35.65897,139.60988,Private room,,2,51,2024-06-29,0.39,2,2,6,M130000196
1600758,Enjoy a unique house in a green residential area!,8529477,Mari,,Setagaya Ku,35.65933,139.60847,Private room,,2,21,2023-06-23,0.29,2,0,0,M130000196
1732795,"4 Bed-rooms, 2 toilets, shower, Traditional rooms",7740848,K Family,,Katsushika Ku,35.73784,139.85201,Entire home/apt,48729,3,377,2024-06-13,2.90,6,281,41,Hotels and Inns Business Act | 葛飾区保健所 | 4葛保生環令第75号
1749157,Diplomat House/Mansion very close to JR Station,9203725,Tokyo,,Ota Ku,35.58958,139.72636,Entire home/apt,77857,3,65,2024-05-24,0.50,9,33,6,M130032025
